Autor,Comentario
@electricomusical2482,"Te entiendo perfectamente Saul, es que España es así, cada uno va a su particular guerra y así nos va, el día que seamos una sociedad con letras mayúsculas donde no ocurran estas idioteces de la gente y mala educación y robos de bicicletas etc... entonces estaremos hablando de una sociedad avanzada como en Dinamarca, Noruega etc. espabilidad insensatos!! espabilidad que lo hacen por boicotear lo eléctrico igualmente con sus pezados de bmw tragones y contaminantes o bien para ocupar la plaza sin enchufar que sin sentido...un saludo mundo con sentido común"
@gmvxtv,"Pasa con eso, con las mascarillas, con tirar las cosas a la papelera/contenedor... si trump es presidente de eeuu,,, imaginaros el resto. Nos rodeamos de esa gente que vota a esa gentuza, ergo, blanco y en botella."
@xavierbennasar6602,"Desgraciadamente Saul... this is Spain..
 Ande yo caliente... riase la gente...
Y así nos va en todo"
@JULIAN-cl1il,Que pensarán los propietarios de los eléctricos que no están cargando cuando lleguen a un punto de carga y se encuentren lo que ellos están haciendo????
@ijaen,"Es lo que siempre digo, hace falta mucha educación y multas."
@cct1941,Toda la razón!!! Panda de incívicos
@SezarBlue,"Toda la razón, a ver si avanza la legislacion y se empieza a sanciona y a retirar coches la grúa."
@carlosgonzalvezbarroso5860,"Es una pena, así nos va, no hemos aprendido nada con el bicho, JAMAS se me ocurriria estacionar ahí , q vergüenza. En todos lados pasa igual, se piensan q son plazas para aparcar los eléctricos, primero yo y después yo"
@efigenerefigener9373,Demostración empírica de la calidad del género humano. Por lo menos en estas latitudes.
@1421pedro,Yo estoy pensando en hacer estrellas para las ruedas ...me falta el material más adecuado ...ideal
@andonidiaz4169,"Puedes denunciar la situacion en la inspeccion de la policia municipal, en los bajos del ayto. Ellos tienen l potestad de denunciar al coche mal aparcado aunque sea en un parking. Receta y a correr."
@iTomcat7733,Pues estoy harto de ver eso en españa y no hablemos de los aparcamientos de minusvalidos
@JosebaEgia,"Coño podemos quedar para dar una vuelta con mi moto electrica, la pena el tiempo"
@Bindows,"La verdad es que es vergonzoso lo que ocurre.  Al ser parking privado no puedes llamar a la Policía Local, pero sí dar aviso al centro comercial y que den matrícula por megafonía para que lo retiren o se le retira, sólo coches cargando. No es un parking al uso ni para aparcar solo eléctricos. Cargar, esa extraña palabra que hay en el diccionario y usamos para el móvil"
@rubend5000,"Eso es tan simple como poner unos cepos automáticos (las barreras que impiden aparcar en una plaza) y que se desbloqueen al activar previamente el cargador. Por si alguien no lo entiende llego con mi eléctrico veo una plaza libre bajo del coche activo el cargador y se baja la barrera aparco el coche y a cargar, si el tío va de listo y solo lo activa para aparcar pero no recarga el coche tras un tiempo prudencial se le avisa vía cargador y/o vía móvil de que debe de conectar el cargador o marcharse y si lo ignora se empieza a contabilizar el monedero asociado a su cuenta, así cuando le llegue el aviso de la pasta que se esta dejando por haber hecho mal uso de la plaza para eléctricos se lo pensara dos veces antes de hacerlo, se da por hecho que un térmico no se le podría bajar la barrera por ausencia de cuenta en los surtidores eléctricos (es obvio pero hay gente que no se entera y hay que dejarselo todo mascado)"
@franciscogaliano8110,"Pero además, tienes 102 dislikes!!!! Alucinante!!!! 🤦‍♂️🤦‍♂️🤦‍♂️"
@jorgeam6799,Te sorprende? 😁
@santiago_s,"¿Qué significa ""se la sopla"" en España?"
@pacobelmonte,"Esto se arregla a host... perdón, a multas.
Lo de los eléctricos sin enchufar, de traca, y su coche de falla valenciana."
@i3enito1,"Les chupa un huevo todo, habria que empezar a desinflar varias ruedas..."
